University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
Georgia State University (GSU),Biology,18500,0.79,2016-2017,2nd,biology
University of Iowa (UI),Biology,26395,1.19,2016-2017,3rd,biology
University of Wisconsin - Madison (UW),Chemistry,24500,1.07,2016-2017,5th,chemistry
Oregon Health and Science University,NA,28500,1.22,2016-2017,4th,NA
University of Washington (UW),Environmental and Occupational Health Sciences,23520,1.01,2016-2017,4th,health
University of Utah,Pathology,26000,1.17,2016-2017,6th and up,pathology
University of North Carolina - Chapel Hill (UNC),Pharamcology,29500,1.33,2016-2017,5th,pharamcology
Ohio University (OU),Chemistry,18096,0.86,2015-2016,5th,chemistry
University of Wisconsin - Madison (UW),Microbiology Doctoral Training Program,25000,1.09,2016-2017,6th and up,biology
University of Wisconsin - Madison (UW),Cancer Biology,26000,1.14,2016-2017,3rd,biology
Ohio University (OU),Department of Chemistry & Biochemistry,18661,0.89,2015-2016,5th,chemistry
Ohio University (OU),Chemistry and Biochemistry,16642,0.79,2016-2017,3rd,chemistry
University of Texas - Austin (UT),Business,29000,1.27,2016-2017,1st,business
Columbia University (CU),Earth and Environmental Sciences,40000,1.35,2016-2017,2nd,geoscience
University of the Sciences in Philadelphia,Chemistry,20500,0.85,2015-2016,1st,chemistry
University of North Carolina - Chapel Hill (UNC),biochemistry,29600,1.33,2016-2017,6th and up,chemistry
New York University (NYU),Center for Neural Science,36322,1.22,2016-2017,3rd,center for neural science
Columbia University (CU),Economics,30770,1.03,2016-2017,3rd,economics
New York University (NYU),ISAW,39000,1.31,2016-2017,1st,isaw
University of Colorado - Boulder (UCB),Chemistry and Biochemistry,26500,1.04,2016-2017,NA,chemistry
Johns Hopkins University (JHU),Neuroscience,31000,1.21,2016-2017,NA,neuro
Virginia Commonwealth University (VCU),Medicinal Chemistry,24000,0.97,2015-2016,2nd,chemistry
University of Illinois - Urbana- Champaign (UIUC),Natural Resources and Environmental Sciences,24017,1.09,2016-2017,1st,natural resources and environmental sciences
Pennsylvania State University (Penn State),Plant Biology,30225,1.35,2016-2017,2nd,biology
East Carolina University (ECU),communication sciences and disorders,21800,1.01,2016-2017,1st,communication
Northwestern University (NU),Chemical and Biological Engineering,30500,1.26,2016-2017,1st,chemical and biological engineering
University of Pennsylvania,neuroscience,30000,1.24,2016-2017,1st,neuro
CUNY Graduate School and University Center,Anthropology,30000,1.01,2016-2017,3rd,anthropology
University of Texas - Dallas (UTD),Behavioral and Brain Sciences,21000,0.97,2015-2016,1st,behavioral and brain sciences
University of Maryland - College Park (UMD),Electrical Engineering,31200,1.03,2016-2017,3rd,electrical engineering
Baylor College of Medicine,Molecular and Cellular Biology,29990,1.37,2016-2017,2nd,biology
Northwestern University (NU),Biomedical Engineering,29560,1.22,2015-2016,6th and up,biomedical engineering
Northwestern University (NU),Biomedical Engineering,33880,1.4,2016-2017,1st,biomedical engineering
Harvard University (HU),SEAS,36000,1.26,2016-2017,1st,seas
University of Michigan - Ann Arbor (UM),English and Women Studies,18971,0.82,2016-2017,NA,english
Florida International University (FIU),Biology,22660,0.95,2016-2017,4th,biology
University of Michigan - Ann Arbor (UM),English,16000,0.69,2016-2017,NA,english
University of California - San Diego (UCSD),bioengineering,30000,1.13,2016-2017,1st,bioengineering
University of Kansas (KU),NA,18000,0.88,2016-2017,1st,NA
CUNY Graduate School and University Center,Biology,25000,0.84,2015-2016,1st,biology
University of Rochester (UR),biophysics,27800,1.3,2016-2017,1st,physics
California Institute of Technology (Caltech),Geochemistry,34000,1.31,2016-2017,3rd,chemistry
Stanford University (SU),Materials Science and Engineering,40280,1.4,2016-2017,1st,materials science and engineering
Northwestern University (NU),Philosophy,35000,1.44,2016-2017,1st,philosophy
University of Florida (UF),physics,23050,1.01,2016-2017,1st,physics
Carnegie Mellon University (CMU),mechanical engineering,25800,1.25,2016-2017,NA,mechanical engineering
University of California - Berkeley,Biology,26000,0.94,2016-2017,1st,biology
University of Michigan - Ann Arbor (UM),NA,16000,0.69,2016-2017,NA,NA
University of Iowa (UI),NA,13700,0.77,2011-2012,2nd,NA
University of Iowa (UI),NA,17500,0.79,2016-2017,2nd,NA
University of Iowa (UI),NA,15600,0.7,2016-2017,2nd,NA
University of Iowa (UI),NA,13700,0.62,2016-2017,NA,NA
Washington University in St. Louis (Wash U),immunology,29000,1.4,2016-2017,6th and up,immunology
University of Southern California (USC),Molecular and Computational Biology,32000,1.24,2016-2017,NA,biology
Columbia University (CU),Slavic,26100,0.88,2016-2017,6th and up,slavic
University of California - San Diego (UCSD),Chemistry and biochemistry,28700,1.08,2016-2017,2nd,chemistry
University of Cincinnati (UC),Immunology,27000,1.4,2016-2017,1st,immunology
University of Southern California (USC),Psychology,29000,1.12,2016-2017,3rd,psychology
University of North Carolina - Chapel Hill (UNC),BBSP,27800,1.25,2016-2017,1st,bbsp
Georgia Institute of Technology (Georgia Tech),Chemistry and Biochemistry,23800,1.02,2015-2016,4th,chemistry
University of Southern California (USC),Chemistry,33500,1.29,2016-2017,1st,chemistry
Princeton University,French and Italian,31400,1.24,2016-2017,4th,french and italian
University of Colorado - Boulder (UCB),mcdb,32488,1.27,2016-2017,1st,mcdb
University of Connecticut (UConn),Biomedical Engineering,29000,1.19,2015-2016,2nd,biomedical engineering
Ohio State University (OSU),Physics,25488,1.5,2014-2015,3rd,physics
Ohio State University (OSU),Physics,24540,1.45,2014-2015,2nd,physics
St. Louis University (SLU),Biology,19350,0.94,2016-2017,1st,biology
Washington University in St. Louis (Wash U),Material Science and Engineering,30000,1.45,2016-2017,5th,material science and engineering
University of California - Berkeley,physics,32140,1.16,2016-2017,NA,physics
Ball State University (BSU),English,15133,0.75,2016-2017,NA,english
University of North Texas (UNT),English,18000,0.83,2016-2017,NA,english
Texas Tech University (TTU),English,19250,0.95,2016-2017,1st,english
Texas Tech University (TTU),English,15250,0.75,2016-2017,1st,english
Texas Christian University (TCU),English,20000,0.92,2016-2017,NA,english
Lehigh University,English,19700,0.88,2016-2017,NA,english
Illinois State University (ISU),English,14481,0.64,2016-2017,1st,english
Baylor University (BU),English,14300,0.72,2016-2017,1st,english
University of Nevada - Reno (UNR),English,15500,0.74,2016-2017,NA,english
University of Denver (DU),Science,20000,0.89,2016-2017,NA,science
University of Arkansas - Fayetteville,English,11500,0.58,2016-2017,NA,english
Kent State University (KSU),English,15000,0.76,2016-2017,NA,english
University of Tulsa (TU),English,13410,0.68,2016-2017,NA,english
West Virginia University (WVU),English,17400,0.78,2016-2017,NA,english
University of New Hampshire (UNH),English,15300,0.64,2016-2017,NA,english
Iowa State University (ISU),English,18500,0.87,2016-2017,NA,english
Washington State University (WSU),English,13378,0.71,2016-2017,NA,english
University of Hawaii - Manoa (UH),English,18200,0.6,2016-2017,1st,english
St. Louis University (SLU),English,18000,0.87,2016-2017,NA,english
Southern Illinois University - Carbondale (SIUC),English,14500,0.73,2016-2017,NA,english
Marquette University,English,14110,0.66,2016-2017,1st,english
Georgia State University (GSU),15000,15000,0.64,2016-2017,1st,15000
Wayne State University,English,16000,0.77,2016-2017,1st,english
Loyola University Chicago (LUC),English,16500,0.68,2016-2017,NA,english
University of Houston (UH),English,22500,1.03,2016-2017,NA,english
Howard University (HU),English,18000,0.58,2016-2017,NA,english
Louisiana State University - Baton Rouge,English,17000,0.78,2016-2017,NA,english
Miami University (MU),grad,20600,1.07,2016-2017,NA,grad
Syracuse University,English,15479,0.72,2016-2017,NA,english
Binghamton University - SUNY,ENGLISH,17000,0.82,2016-2017,NA,english
University of Oregon (UO),Grad,14000,0.67,2016-2017,NA,grad
University of Colorado - Boulder (UCB),Grad,20000,0.78,2016-2017,NA,grad
University of Pittsburgh,Film,19000,0.92,2016-2017,1st,film
University of Minnesota - Twin Cities (UM),English,16200,0.71,2016-2017,NA,english
Rice University,History,21000,0.96,2016-2017,NA,history
Rice University,Engineering,23500,1.08,2016-2017,1st,engineering
University of Maryland - College Park (UMD),Electrical Engineering,28800,0.95,2016-2017,3rd,electrical engineering
University of California - Berkeley,Environmental Engineering,30000,1.08,2016-2017,NA,environmental engineering
University of Utah,Physics and Astronomy,23800,1.07,2016-2017,4th,physics
University of Rochester (UR),NGP,27800,1.3,2016-2017,1st,ngp
Northwestern University (NU),Medical scientist training program,29695,1.22,2016-2017,5th,medical scientist training program
Louisiana State University - Baton Rouge,biology,19300,0.89,2015-2016,4th,biology
University of North Carolina - Chapel Hill (UNC),Epidemiology,16000,0.72,2015-2016,3rd,epidemiology
Oklahoma State University (OSU),Entomology and Plant Pathology,22182,1.14,2016-2017,1st,agriculture
Yale University (YU),Economics,37000,1.5,2016-2017,1st,economics
CUNY - Hunter College,special education,22500,0.76,2016-2017,1st,special education
Oklahoma State University (OSU),Materials Science and Engineering,18400,0.95,2015-2016,1st,materials science and engineering
University of Vermont (UVM),Education Leadership & Policy Studies,25000,0.96,2016-2017,1st,education leadership & policy studies
Stanford University (SU),Bioengineering,37904,1.32,2016-2017,1st,bioengineering
University of Illinois - Urbana- Champaign (UIUC),Food Science & Human Nutrition,19800,0.9,2016-2017,2nd,food science & human nutrition
University of Texas - Dallas (UTD),Management,24000,1.11,2016-2017,1st,management
University of Texas - Austin (UT),Neuroscience,30000,1.31,2016-2017,1st,neuro
Johns Hopkins University (JHU),ECE,28000,1.09,2016-2017,1st,ece
San Diego State University (SDSU),biology,23400,0.99,2003-2004,1st,biology
Florida Atlantic University (FAU),Chemistry and Biochemistry,19000,0.8,2016-2017,6th and up,chemistry
Vanderbilt University,Chemistry,27000,1.18,2016-2017,6th and up,chemistry
Rutgers the State University of New Jersey - New Brunswick,Molecular Biosciences,26746,1.04,2016-2017,1st,molecular biosciences
Cornell University (CU),Ecology & Evolutionary Biology,34298,1.41,2016-2017,1st,biology
Case Western Reserve University,Biomedical Engineering,25000,1.25,2016-2017,1st,biomedical engineering
Oregon Health and Science University,Bioinformatics and Computational Biology,28000,1.2,2016-2017,1st,biology
University of Delaware (UD),Chemistry,24300,0.96,2015-2016,1st,chemistry
University of Southern California (USC),Biological and Biomedical Sciences,32000,1.24,2016-2017,1st,biological and biomedical sciences
University of California - San Francisco (UCSF),Biomedical Sciences (BMS),34000,1.14,2015-2016,1st,biomedical sciences (bms)
Georgia State University (GSU),Physics & Astronomy,17500,0.75,2016-2017,2nd,physics
Georgia State University (GSU),Physics & Astronomy,18000,0.77,2016-2017,3rd,physics
Georgia State University (GSU),Physics & Astronomy,22000,0.94,2016-2017,2nd,physics
Georgia State University (GSU),Physics & Astronomy,17000,0.73,2016-2017,1st,physics
Emory University,Religion,21100,0.91,2016-2017,2nd,religion
Marshall University,Biomedical Sciences,24455,1.27,2015-2016,1st,biomedical sciences
University of California - Santa Cruz,Applied Mathematics and Statistics,27511,1.02,2016-2017,1st,applied mathematics and statistics
Loyola University Chicago (LUC),Chemistry,26727,1.1,2016-2017,1st,chemistry
University of Alabama - Birmingham (UAB),Graduate Biomedical Sciences,29000,1.35,2016-2017,1st,graduate biomedical sciences
New Jersey Institute of Technology,Biology,25000,0.92,2016-2017,1st,biology
University of Vermont (UVM),The Rubenstein School of Environment and Natural Resources,25000,0.96,2016-2017,1st,the rubenstein school of environment and natural resources
Yale University (YU),Chemistry,33150,1.34,2016-2017,1st,chemistry
University of Maryland - College Park (UMD),Bioengineering,36000,1.19,2015-2016,1st,bioengineering
University of Maryland - College Park (UMD),Bioengineering,28600,0.95,2016-2017,2nd,bioengineering
University at Albany - SUNY,Economics,15300,0.67,2016-2017,1st,economics
University of Virginia (UVA),Economics,24000,1.05,2016-2017,1st,economics
University of Pennsylvania,Psychology,30000,1.24,2016-2017,2nd,psychology
Duke University (DU),Cell and Molecular Biology,29500,1.33,2016-2017,4th,biology
Rutgers the State University of New Jersey - New Brunswick,Molecular Biosciences,28170,1.09,2016-2017,1st,molecular biosciences
University of Tennessee - Knoxville,"Biochemistry, cellular and molecular biology",21700,1.02,2015-2016,3rd,biology
University of Tennessee - Knoxville,BCMB,20000,0.94,2016-2017,3rd,bcmb
Duke University (DU),CNAP,30310,1.36,2016-2017,3rd,cnap
Clemson University (CU),Bioengineering,17140,0.82,2016-2017,1st,bioengineering
University of Utah,Neuroscience,26000,1.17,2015-2016,2nd,neuro
University of Florida (UF),Microbiology and cell science,21600,0.95,2016-2017,1st,biology
Massachusetts Institute of Technology (MIT),Brain and Cognitive Science,34500,1.24,2016-2017,1st,brain and cognitive science
University of California - Santa Cruz,Music,24000,0.89,2016-2017,1st,music
University of Southern California (USC),Pharmaceutical Economics and Policy,35250,1.36,2016-2017,1st,pharmacyceutical economics and policy
University of Washington (UW),aeronautics and astronautics,25736,1.11,2016-2017,2nd,aerospace
Mount Sinai School of Medicine,Neuroscience,34000,1.14,2016-2017,4th,neuro
Purdue University - West Lafayette,Forestry and Natural Resources,21000,0.99,2016-2017,3rd,forestry and natural resources
University of Washington (UW),Biostatistics,27305,1.17,2016-2017,1st,biostatistics
University of California - San Diego (UCSD),Mechanical and Aerospace Engineering,24000,0.91,2015-2016,2nd,aerospace
Northeastern University (NU),Biology,31500,1.1,2016-2017,5th,biology
University of California - Berkeley,Integrative Biology,24000,0.86,2015-2016,2nd,biology
University of Miami (UM),PIBS,28000,1.18,2016-2017,1st,pibs
University of Maryland - Baltimore County (UMBC),Psychology,23000,0.89,2016-2017,NA,psychology
University of Rochester (UR),NA,27098,1.27,2016-2017,1st,NA
University of Notre Dame (ND),Philosophy,23000,1.12,2016-2017,1st,philosophy
University of Tennessee - Knoxville,political science,30000,1.41,2016-2017,1st,political science
Purdue University - West Lafayette,"Speech, Language, and Hearing Sciences",19290,0.91,2016-2017,1st,"speech, language, and hearing sciences"
University of Washington (UW),Math,22000,0.95,2016-2017,NA,math
